objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped,Fink URL,is_CV_visual_inpsection,is_truly_hostless_legacy,legacy_url,is_truly_hostless_panstarrs,panstarrs_url
ZTF25aanzrcx,CV,0,2025igx,302.3637283,10.74227591,CV,https://ztf.fink-portal.org/ZTF25aanzrcx,yes,,,,
ZTF25aawlutq,CV,0,2025omy,293.4752402,42.333595,CV,https://ztf.fink-portal.org/ZTF25aawlutq,yes,,,,
ZTF24aaspwim,CV,0,2024mqg,272.6875207,22.77983795,CV,https://ztf.fink-portal.org/ZTF24aaspwim,yes,,,,
ZTF25abhfslz,CV,0,2025tfv,280.6299621,17.79256942,CV,https://ztf.fink-portal.org/ZTF25abhfslz,yes,,,,
ZTF25aardghz,CV,0,2025ljt,253.3362073,-8.4256413,CV,https://ztf.fink-portal.org/ZTF25aardghz,yes,no,"https://www.legacysurvey.org/viewer?ra=253.33620732500003&dec=-8.4256413&layer=ls-dr10&photoz-dr9&zoom=16&mark=253.33620732500003,-8.4256413",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=253.33620732500003+-8.4256413&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abjfzow,CV,0,2024wuh,102.4918542,-23.06108502,CV,https://ztf.fink-portal.org/ZTF24abjfzow,yes,,,,
ZTF25abcmcmo,CV,0,2025rvv,312.0430455,-24.35949927,CV,https://ztf.fink-portal.org/ZTF25abcmcmo,yes,,,,
ZTF25abwrsbc,CV,0,2025aaeu,39.66140235,-21.06269998,CV,https://ztf.fink-portal.org/ZTF25abwrsbc,yes,,,,
ZTF24ablknoq,CV,0,2024xhn,102.7270469,59.60682019,CV,https://ztf.fink-portal.org/ZTF24ablknoq,yes,,,,
ZTF24aavybxc,CV,0,2024pnt,255.9206277,-6.5129304,CV,https://ztf.fink-portal.org/ZTF24aavybxc,yes,,,,
ZTF25aafejht,CV,0,2025aiv,272.5319221,47.89423145,CV,https://ztf.fink-portal.org/ZTF25aafejht,yes,,,,
ZTF24abeegoz,CV,0,2024uah,300.1181432,-3.009536871,CV,https://ztf.fink-portal.org/ZTF24abeegoz,yes,,,,
ZTF24aaoovbv,CV,0,2024jqp,313.7161606,29.70595609,CV,https://ztf.fink-portal.org/ZTF24aaoovbv,yes,,,,
ZTF24aatqfom,CV,0,2024nat,245.726877,-16.18358583,CV,https://ztf.fink-portal.org/ZTF24aatqfom,yes,,,,
ZTF25aahcavm,CV,0,2021agrd,133.7757928,-25.84064038,CV,https://ztf.fink-portal.org/ZTF25aahcavm,yes,,,,
