objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped
ZTF25aanzrcx,CV,0.0,2025igx,302.3637282818181,10.742275906060604,CV
ZTF24abmkoqc,SN Ia,0.095,2024yfp,123.82154745,13.987237668749998,SN Ia
ZTF24aaxdooe,SN Ic-BL,0.03,2024pxk,39.94384899333333,-13.022659353333331,SN Ic-BL
ZTF23abndxzj,SN Ia,0.042,2023vxt,352.97642724117645,72.84651467352941,SN Ia
ZTF24abmaujk,TDE,0.12,2024ymu,1.718909325,-17.336810924999998,TDE
ZTF24aaqgmxz,SN Ia,0.06,2024klq,203.6390022,-12.89768675,SN Ia
ZTF25aambvjr,SN II,0.05,2025jqr,335.76581631111117,17.316360703703705,SN II
ZTF25aajjeon,TDE,0.6278,2025hbw,143.00356793043474,46.10419376086956,TDE
ZTF24aatxshz,TDE,0.1398,2024qab,273.5258050448276,36.24992175862069,TDE
ZTF24aaahwrm,SN Ia,0.05,2024mk,154.24684746666665,-9.4483493,SN Ia
ZTF25aawlutq,CV,0.0,2025omy,293.47524023600005,42.333594997999995,CV
ZTF25abwdrev,SN Ia,0.126,2025zqz,346.1518762299999,27.804729345,SN Ia
ZTF25aaacrjj,SN Ia,0.05,2025L,37.893162588888885,-23.011175144444444,SN Ia
ZTF25acczido,SN Ia,0.091,2025acua,9.30247097,9.50350131,SN Ia
ZTF24aafedkt,Varstar,0.0,2019hyn,111.12651866666668,73.18213091666667,Varstar
ZTF25acgngdl,SN Ia,0.06,2025ahdt,325.36358513333334,-4.3394683,SN Ia
ZTF24abikzjx,SN Ia,0.04,2024vyd,8.595338463636361,10.351978487878789,SN Ia
ZTF25aavsjkg,SN Ia,0.06,2025obr,254.95637058571424,74.06957733809524,SN Ia
ZTF23absflyh,SN Ia,0.09,2023yti,31.5925162,-18.3183686,SN Ia
ZTF25abikagm,SN Ia,0.09,2025tss,71.74520867857143,84.45951767142857,SN Ia
ZTF24abgmtsu,SN Ia,0.029911,2024vbk,33.710964623076926,30.85979822307692,SN Ia
ZTF24aaspwim,CV,0.0,2024mqg,272.6875207285714,22.77983795,CV
ZTF24aaowjlw,SLSN-I,0.13,2024jwx,227.5384731209303,6.751681002325581,SLSN-I
ZTF24aaimxaf,SN Ia,0.059,2024fyc,207.47450963333333,26.479066616666667,SN Ia
ZTF23abbsfxp,SN Ia,0.139,2023slt,53.518406575,-21.90609215,SN Ia
ZTF24abtmueg,SLSN-I,0.109,2024adhq,17.737602765,42.20150315,SLSN-I
ZTF24aafqard,SN Ia,0.083,2024csz,184.2199386,0.2080972999999999,SN Ia
ZTF25abhfslz,CV,0.0,2025tfv,280.6299621,17.79256942,CV
ZTF25abcydiy,SLSN-I,0.22,2025sfo,320.073138467742,-17.20889810215054,SLSN-I
ZTF24abbmixl,SN Ia,0.012129,2024pjl,67.05888325909092,-6.791171954545455,SN Ia
ZTF24absuydh,SN Ia,0.066,2024abgb,130.46196734375002,24.6951620375,SN Ia
ZTF24abzjfdz,SN Ia,0.1095,2024afro,166.22632101818184,78.92745972727273,SN Ia
ZTF23abpqklj,SN Ia,0.07,2023xjs,36.64401253333333,-19.17399307777778,SN Ia
ZTF24abnfurd,SN Ia,0.075,2024ykq,164.4217919923077,-3.273587084615385,SN Ia
ZTF24aagtlpi,SN Ia,0.09,2024ebw,210.64536533333333,30.1362906,SN Ia
ZTF24abttkmr,SN Ia,0.083,2024aces,188.115613425,52.173572175,SN Ia
ZTF24abyxivp,SN Ia,0.14,2024afos,78.00845895,-19.62249525,SN Ia
ZTF25aardghz,CV,0.0,2025ljt,253.33620732500003,-8.4256413,CV
ZTF24aapeoye,SN Ia,0.07,2024jqy,215.5584608,48.50688065714286,SN Ia
ZTF24aaiehwu,SN Ia,0.04,2024fot,196.7256583586207,-22.11139662758621,SN Ia
ZTF25acgqhry,SN Ia,0.1,2025agmz,117.82424975833334,1.178132891666667,SN Ia
ZTF24aaindpx,SN Ia,0.02,2024gbt,189.49828344814816,-27.434601237037036,SN Ia
ZTF24abbggnw,SLSN-I,0.24,2024nrw,23.22869825,-27.75672147857143,SLSN-I
ZTF24abjfzow,CV,0.0,2024wuh,102.49185423333331,-23.06108501666667,CV
ZTF24abyixnr,SN Ia,0.1,2024afbd,134.81792629,67.69320625,SN Ia
ZTF25abcmcmo,CV,0.0,2025rvv,312.04304548484845,-24.359499266666663,CV
ZTF25abcxtvx,SN Ia,0.053,2025rzv,306.6027317416667,-11.169176547916669,SN Ia
ZTF25abixhdc,SLSN-I,0.22,2025ukr,320.73546525081974,-10.01329255737705,SLSN-I
ZTF25accmopr,SLSN-I,0.307,2025afad,134.29468345217393,-15.559737913043476,SLSN-I
ZTF25abxdetz,Nova,0.0,2025aapj,10.025285211111113,40.81528233333333,CV
ZTF25aahsvoc,SN Ib-Ca-rich,0.00472,2025coe,158.283005775,28.436805325,SN Ib-Ca-rich
ZTF25aakqyxk,SN IIP,0.034,2025ftr,156.51222287857144,-3.4157170142857147,SN II
ZTF25abeuvaa,SN Ia,0.091,2025sns,327.9077804761905,-27.24805550714286,SN Ia
ZTF25aaamyjq,SN Ia,0.07,2025av,107.9434574076923,24.037023115384617,SN Ia
ZTF25abrggxu,SN Ia,0.0957,2025xrt,318.71695414666664,-23.691547666666665,SN Ia
ZTF25aayxsry,SN Ia,0.085,2025qff,312.93780777157895,-9.54342788,SN Ia
ZTF25acitiuq,SN Ia,0.026228,2025ahkt,141.42689066666665,22.334935673333337,SN Ia
ZTF25acdceqb,SN Ia,0.05,2025acsj,173.48318944482762,49.38396688620689,SN Ia
ZTF25abqkwce,SN Ia-SC,0.04,2025xju,358.81116190779227,39.76371591818182,SN Ia*
ZTF23aazezjp,SN Ia,0.12,2023pug,6.516917528571429,30.876868792857145,SN Ia
ZTF25abwrsbc,CV,0.0,2025aaeu,39.661402348,-21.062699976,CV
ZTF25abzyzac,SLSN-I,0.19,2025abvv,2.19775059,-9.594502506666666,SLSN-I
ZTF25abwqbxp,SN Ia,0.036539,2025aafd,33.786867236111114,35.93199431666667,SN Ia
ZTF25abmkbaa,SN Ia,0.081,2025wdz,335.30356711578946,23.71677259473684,SN Ia
ZTF25abiwxmw,SLSN-I,0.161,2025upm,301.8331077377778,55.47362117555555,SLSN-I
ZTF24abxzhim,SN Ia,0.018413,2024aedt,27.892477766666666,8.251362923809522,SN Ia
ZTF25abyrwhz,SLSN-I,0.124,2025abmf,139.0503893448276,49.06484862413794,SLSN-I
ZTF25aapwxhm,SN Ia,0.044,2025khl,251.36158280487803,65.59108739999999,SN Ia
ZTF24aaaimkm,SLSN-I,0.2,2023aase,173.09202701111113,-3.3223528888888887,SLSN-I
ZTF23abbakmt,SN Ia,0.101,2023rhf,310.55295409999997,-12.88078948,SN Ia
ZTF24aapzmzb,SN Ia,0.075,2024kxz,318.2618546666667,-13.549046,SN Ia
ZTF23abdhvou,SN Ia,0.089,2023sqs,29.580017484,14.560202696,SN Ia
ZTF25aahtbjr,SN Ia,0.07,2025cxn,195.78061326666665,-13.407288976190475,SN Ia
ZTF24ablknoq,CV,0.0,2024xhn,102.72704691794873,59.606820189743594,CV
ZTF24aaumhmm,SN Ia,0.06,2024nzi,249.315618395,29.1514141075,SN Ia
ZTF23aboebgh,SLSN-I,0.15,2023wml,174.78622454324326,-11.249424402702704,SLSN-I
ZTF23aazrtdy,SN Ia,0.084,2023qpe,355.06577601282055,15.464158433333331,SN Ia
ZTF24aahpcfe,SN Ia-91T-like,0.08,2024fai,162.17038428888887,-9.526831111111113,SN Ia*
ZTF24abimpmc,SN Ia,0.04,2024vyj,27.103259627272724,2.4826049,SN Ia
ZTF23abijopy,SN Ia,0.04,2023uqu,266.94928588,64.349249555,SN Ia
ZTF24abmqdcc,SN Ia,0.081,2024ygt,56.97701431875,6.707008074999999,SN Ia
ZTF23abvzhwa,SN Ia,0.085,2024mi,114.37556783571428,45.28689709285714,SN Ia
ZTF23abaslfm,SN Ia,0.069,2023rbt,26.63096426086957,11.865366665217392,SN Ia
ZTF24abfpcjv,SN Ia,0.033,2024vjw,135.51261944677418,22.617197282258065,SN Ia
ZTF24aalcflg,SN Ia,0.093,2024hrq,245.82305697777775,2.508987888888889,SN Ia
ZTF23absddkf,SN Ia,0.044,2023yzu,80.99784647142859,-20.092573485714286,SN Ia
ZTF23ablspnz,SN II,0.035,2023vkz,127.15074601081083,57.20884760540541,SN II
ZTF24aaennqr,SN IIn,0.037,2024bth,109.65945655714286,4.309681799999999,SN IIn
ZTF24aaimwud,SN Ia,0.115,2024lni,190.45260488333335,63.018388116666664,SN Ia
ZTF24aapzgnb,SN Ia,0.11,2024kcq,324.6855045,11.995044177777777,SN Ia
