GSC2_3,GSC1,HTM6,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Epoch,Fmag,e_Fmag,n_Fmag,jmag,e_jmag,n_jmag,Vmag,e_Vmag,n_Vmag,Nmag,e_Nmag,n_Nmag,Umag,e_Umag,n_Umag,Bmag,e_Bmag,n_Bmag,Class,Status,M,a,e,aPA
N2VA016127,,N0322012,335.918205,28.06432,0.3100000023841858,0.3100000023841858,1988.765,19.690000534057617,0.5,35,20.510000228881836,0.44999998807907104,18,,,,,,,,,,,,,3,21203,,1.9600000381469727,0.36000001430511475,4.400000095367432
N44S008241,,N1103230,210.916922,79.792207,0.27000001072883606,0.2800000011920929,1994.436,,,,21.90999984741211,0.5699999928474426,18,,,,,,,,,,,,,3,10002201,,1.7899999618530273,0.4300000071525574,131.3000030517578
N44X008826,,N1103301,218.138608,80.357413,0.27000001072883606,0.2800000011920929,1994.436,,,,21.3799991607666,0.4300000071525574,18,,,,,,,,,,20.610000610351562,0.6100000143051147,7,3,1002202,,2.140000104904175,0.11999999731779099,153.89999389648438
NABB009894,,N3100313,71.746343,84.45952,0.2800000011920929,0.27000001072883606,1996.717,,,,21.649999618530273,0.6000000238418579,18,,,,,,,,,,,,,3,10002201,,1.6399999856948853,0.15000000596046448,49.099998474121094
NAGB015256,,N3103223,29.582815,81.070289,0.3199999928474426,0.3199999928474426,1996.619,,,,22.059999465942383,0.5600000023841858,18,,,,,,,,,,,,,3,10002201,,1.5,0.38999998569488525,162.6999969482422
NAOD013723,,N3120031,86.327978,47.734605,0.3700000047683716,0.3499999940395355,1989.76,16.059999465942383,0.41999998688697815,35,17.739999771118164,0.41999998688697815,18,16.799999237060547,0.25,1,15.729999542236328,0.4300000071525574,37,,,,18.09000015258789,0.3199999928474426,7,0,111211,,3.2799999713897705,0.029999999329447746,161.8000030517578
NCLM030935,,N3333022,41.932454,38.061382,0.28999999165534973,0.27000001072883606,1993.708,,,,22.31999969482422,0.6899999976158142,18,,,,,,,,,,,,,3,10002201,,2.140000104904175,0.6100000143051147,102.69999694824219
S2QC004992,,S0313110,46.011803,-13.015047,0.4099999964237213,0.38999998569488525,1995.896,20.579999923706055,0.6399999856948853,36,,,,,,,,,,,,,,,,3,10020201,,1.440000057220459,0.36000001430511475,162.3000030517578
S68T031684,,S1332131,140.796929,-26.849547,0.4099999964237213,0.4099999964237213,1978.018,,,,22.270000457763672,0.6299999952316284,0,,,,,,,,,,,,,3,10002201,,1.4800000190734863,0.10000000149011612,8.899999618530273
S6EV006625,,S2001313,181.753215,-15.68935,0.3100000023841858,0.30000001192092896,1992.314,20.09000015258789,0.46000000834465027,36,21.3700008392334,0.3199999928474426,0,,,,,,,,,,,,,3,1022202,,2.180000066757202,0.3700000047683716,161.0
S6ZH000206,,S2031131,194.73696,-10.062225,0.3199999928474426,0.3199999928474426,1991.115,20.639999389648438,0.7599999904632568,36,,,,,,,,,,,,,,,,3,10020201,,1.5,0.4000000059604645,161.39999389648438
SC41010583,,S3311101,312.68614,-23.270714,0.3400000035762787,0.30000001192092896,1994.501,14.829999923706055,0.41999998688697815,36,15.949999809265137,0.4099999964237213,0,,,,14.600000381469727,0.4399999976158142,38,,,,16.389999389648438,0.46000000834465027,7,0,1011205,,4.579999923706055,0.09000000357627869,18.299999237060547
