No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations,catalogue_object_id
1,CGCG 164-028,222.03073,31.73802,G,13607.0,0.045389,SLS,15.9g,,29,0,67,10,6,10,0,CGCG164-028
1,WISEA J121210.01-130707.7,183.04175,-13.11883,RadioS,,,,1.54,,0,0,13,2,0,0,0,WISEAJ121210.01-130707.7
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,CGCG 047-101,218.57925,3.66436,G,10066.0,0.033575,SLS,15.0g,,52,0,82,26,20,10,0,CGCG047-101
1,WISEA J132756.93+342159.2,201.98722,34.36645,G,10272.0,0.034264,SLS,15.68,,14,0,48,11,4,6,0,2MASXJ13275696+3421591
1,MCG -02-04-057,22.09985,-13.57243,G,9935.0,0.03314,SLS,15,,13,0,35,10,4,3,0,MCG-02-04-057
1,GIN 525,241.17258,16.64975,G,13559.0,0.045228,SUN,15.05,,7,0,0,2,3,0,2,GIN525
1,WISEA J114647.86+414643.5,176.69948,41.77856,G,,,,23.2g,,0,0,27,2,0,4,0,SDSSJ114647.87+414642.8
1,WISEA J085537.28+075038.8,133.90536,7.84414,G,18333.0,0.061152,SLS,16.0g,,25,0,78,8,5,10,0,2MASXJ08553730+0750391
1,SDSS J153715.08+011941.3,234.31284,1.32817,G,,,,22.4g,,0,0,15,1,0,4,0,SDSSJ153715.08+011941.3
1,WISEA J150251.88+051251.0,225.71617,5.21418,G,11118.0,0.037084,SLS,17.0g,,13,0,35,6,3,4,0,SDSSJ150251.88+051250.8
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,WISEA J145713.44+124813.1,224.306,12.80364,G,21499.0,0.071713,SLS,16.91,,13,0,46,9,5,6,0,2MASXJ14571344+1248136
1,CGCG 224-052,247.59965,40.66569,G,8775.0,0.029269,SLS,15.1g,,43,0,69,20,12,8,0,CGCG224-052
1,SDSS J093122.42+051657.6,142.84344,5.28268,G,,,,21.3g,,0,0,15,1,0,4,0,SDSSJ093122.42+051657.6
1,SDSS J160830.80+345519.9,242.12836,34.92221,G,,,,22.0g,,0,0,15,1,0,3,0,SDSSJ160830.80+345519.9
1,CGCG 009-031,156.52513,-3.41313,G,11522.0,0.038433,SLS,15.30,,19,1,31,10,9,4,0,CGCG009-031
1,UGC 01325,27.9043,8.25659,G,5520.0,0.018413,SUN,13.58,,37,1,37,15,10,6,0,UGC01325
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,WISEA J093200.81+460615.1,143.00349,46.10419,G,,,,22.7g,,0,0,27,2,0,4,0,SDSSJ093200.83+460615.0
1,SDSS J101510.76+201056.8,153.79485,20.18245,G,,,,21.7g,,0,0,15,1,0,4,0,SDSSJ101510.76+201056.8
1,SDSS J092342.74+030821.8,140.92809,3.13941,G,,,,21.6g,,0,0,19,2,0,4,0,SDSSJ092342.74+030821.8
1,SDSS J150721.34+334806.3,226.83894,33.80176,G,,,,22.1g,,0,0,15,1,0,4,0,SDSSJ150721.34+334806.3
1,ABELL 2061:KYDISC 00007,230.78506,30.87746,G,22019.0,0.073446,SLS,16.0g,,35,0,69,15,14,10,1,2MASXJ15230842+3052387
1,WISEA J161834.14-163613.4,244.64228,-16.60373,G,18741.0,0.062513,SLS,16.2R,,3,0,27,4,3,2,0,2MASXJ16183415-1636132
1,WISEA J151644.78+215932.2,229.18662,21.9923,G,24238.0,0.080849,SLS,17.91,,19,0,46,6,4,6,0,2MASXJ15164479+2159323
1,SDSS J105637.66+094125.8,164.15694,9.69052,G,,,,22.3g,,0,0,15,1,0,4,0,SDSSJ105637.66+094125.8
1,SDSS J083042.47+052843.7,127.67698,5.47882,G,,,,22.8g,,0,0,15,1,0,4,0,SDSSJ083042.47+052843.7
1,ESO 508- G 008,196.87108,-27.38907,G,5938.0,0.019807,UUN,14.44,,25,1,39,9,6,18,0,ESO508-G008
1,WISEA J013506.63-224017.2,23.77763,-22.67147,G,21841.0,0.072854,SLS,17.27,,10,0,37,8,3,2,0,2MASXJ01350671-2240164
1,WISEA J004048.90-203027.2,10.20376,-20.50758,G,27007.0,0.090086,SLS,17.08,,2,0,32,6,3,2,0,2MASXJ00404886-2030272
1,SDSS J014829.41+010715.9,27.12257,1.12109,G,,,,21.8g,,0,0,15,1,0,4,0,SDSSJ014829.41+010715.9
1,UGC 02776,53.1802,10.52189,G,13991.0,0.046669,S1L,17.,,10,0,35,8,5,3,0,UGC02776
1,SDSS J152826.27+223553.7,232.10948,22.59827,G,,,,23.0g,,0,0,15,1,0,4,0,SDSSJ152826.27+223553.7
1,WISEA J113222.15-031918.1,173.09224,-3.32186,G,,,,22.4g,,0,0,27,2,0,4,0,SDSSJ113222.13-031918.6
1,UGC 06239,167.9964,3.13577,G,8935.0,0.029805,SLS,14.2g,,43,1,73,19,12,15,0,UGC06239
1,WISEA J211432.37-264645.9,318.63489,-26.77942,G,21128.0,0.070474,PUN,16.3r,,2,0,28,5,1,2,1,2MASXJ21143235-2646454
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,SDSS J093848.97+300122.4,144.70407,30.02289,G,,,,22.5g,,0,0,15,1,0,4,0,SDSSJ093848.97+300122.4
1,ESO 553- G 041,81.0021,-20.08135,G,13315.0,0.044414,SLS,15.17,,12,0,37,10,5,14,0,ESO553-G041
1,WISEA J081430.37+145452.3,123.62656,14.91454,G,33777.0,0.112668,SLS,18.0g,,15,0,41,6,4,4,0,SDSSJ081430.39+145452.4
1,NGC 4462,187.33842,-23.16636,G,1792.0,0.005977,SUN,13.12,,104,3,33,21,13,19,0,NGC4462
1,WISEA J121652.46+001258.1,184.21859,0.21616,G,24909.0,0.083087,SLS,18.3g,,3,0,34,7,3,4,0,SDSSJ121652.47+001257.9
1,MESSIER 033,23.46204,30.66022,G,-179.0,-0.000598,UUN,6.27,,2860,22,177,90,28,13,0,MESSIER033
1,SDSS J124202.64+100131.8,190.51104,10.02552,G,,,,21.9g,,0,0,15,1,0,4,0,SDSSJ124202.64+100131.8
1,WISEA J153407.24+570333.8,233.53018,57.05941,G,22225.0,0.074133,SLS,16.7g,,20,0,65,8,6,10,0,2MASXJ15340721+5703339
1,WISEA J141116.70+262015.2,212.81959,26.33757,G,,,,19.7g,,0,0,27,2,0,4,0,SDSSJ141116.74+262015.0
1,WISEA J170838.22+451529.0,257.15929,45.25806,G,17508.0,0.058402,PUN,16.2g,,5,0,43,4,1,6,2,2MASXJ17083819+4515289
1,SDSS J090658.55+172117.0,136.74399,17.35475,G,,,,21.8g,,0,0,15,1,0,4,0,SDSSJ090658.55+172117.0
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,WISEA J035026.75+184937.8,57.61148,18.82718,G,8493.0,0.02833,SLS,11.2K,,7,0,27,6,4,2,0,2MASXJ03502671+1849383
1,WISEA J114546.44-041448.2,176.44352,-4.24675,G,23535.0,0.078504,SLS,16.0R,,4,0,27,4,3,2,2,2MASXJ11454645-0414483
1,SDSS J170544.25+382237.6,256.43441,38.37714,G,,,,22.8g,,0,0,15,1,0,4,0,SDSSJ170544.25+382237.6
1,WISEA J165440.50+404451.4,253.66879,40.74763,G,29208.0,0.097427,SLS,16.8g,,22,0,55,9,7,6,0,2MASXJ16544052+4044510
1,SDSS J091419.97+145242.6,138.58325,14.87853,G,,,,22.7g,,0,0,15,1,0,4,0,SDSSJ091419.97+145242.6
1,UGC 06507,172.80216,34.20318,G,6307.0,0.021038,S1L,15.0g,,53,0,57,21,15,11,0,UGC06507
1,WISEA J115416.11+204343.2,178.56716,20.72867,G,27982.0,0.093339,SLS,18.2g,,13,0,41,4,2,6,0,2MASXJ11541609+2043429
1,SDSS J093643.55+082211.0,144.18149,8.36974,G,,,,21.7g,,0,0,19,2,0,3,0,SDSSJ093643.55+082211.0
1,MCG +08-26-026,215.55499,48.49831,G,21694.0,0.072363,SUN,15.4g,,14,0,46,8,5,7,0,MCG+08-26-026
1,ESO 509- G 029,202.3718,-23.66461,G,9144.0,0.030501,SUN,15.37,,15,1,41,10,5,12,0,ESO509-G029
1,MRK 1232,139.97995,0.94514,G,5289.0,0.017641,SLS,14.9g,,64,0,87,30,25,12,0,MRK1232
1,SDSS J155126.06+193600.6,237.8586,19.60019,G,,,,22.0g,,0,0,15,1,0,4,0,SDSSJ155126.06+193600.6
1,UGC 05522,153.49544,7.02407,G,1220.0,0.004069,S1L,14.5g,,88,1,72,29,24,11,0,UGC05522
1,SDSS J105741.18-031625.6,164.42161,-3.2738,G,,,,21.7g,,0,0,19,2,0,4,0,SDSSJ105741.18-031625.6
1,SDSS J102149.40+652213.0,155.45617,65.37016,G,3170.0,0.010573,SLS,17.3g,,14,0,20,7,6,4,0,SDSSJ102149.40+652213.0
1,AT 2017edo,347.37479,43.92259,VisS,,,,,,1,0,0,1,0,0,0,AT2017edo
1,UGC 01221,26.15968,38.20286,G,11095.0,0.037009,S1L,14.76,,23,1,33,9,8,7,0,UGC01221
1,WISEA J151725.40-030511.0,229.35584,-3.08641,UvS,,,,,,0,0,16,2,0,0,0,GALEXMSCJ151725.36-030505.9
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,SDSS J163134.05+130226.7,247.89188,13.04077,G,,,,22.4g,,0,0,15,1,0,4,0,SDSSJ163134.05+130226.7
1,WISEA J090202.61+223605.5,135.51089,22.60155,G,11147.0,0.037183,SLS,17.8g,,12,0,20,4,3,0,0,SDSSJ090202.60+223605.7
1,SDSS J140234.89+300810.5,210.64541,30.13627,G,,,,22.3g,,0,0,15,1,0,4,0,SDSSJ140234.89+300810.5
1,SDSS J103342.93+001745.4,158.42891,0.29596,G,,,,21.8g,,0,0,15,1,0,4,0,SDSSJ103342.93+001745.4
1,WISEA J085347.60+033044.1,133.44844,3.51223,G,,,,19.1g,,0,0,35,4,0,4,0,SDSSJ085347.62+033044.0
1,SDSS J154044.96+224622.3,235.18734,22.77287,G,,,,22.1g,,0,0,15,1,0,4,0,SDSSJ154044.96+224622.3
1,WISEA J021447.47+305137.1,33.69782,30.86032,G,8967.0,0.029911,SLS,11.1K,,6,0,27,6,4,2,0,2MASXJ02144752+3051374
1,SDSS J111549.84+313801.2,168.95768,31.63369,G,,,,22.7g,,0,0,15,1,0,4,0,SDSSJ111549.84+313801.2
1,SDSS J165402.32+391717.5,253.50968,39.2882,G,,,,21.1g,,0,0,23,3,0,4,0,SDSSJ165402.32+391717.5
1,WISEA J021508.31+355641.1,33.78464,35.94478,G,10954.0,0.036539,SLS,15.63,,9,0,32,9,5,2,0,2MASXJ02150835+3556407
1,CGCG 454-042,350.03052,16.29051,G,7201.0,0.02402,S1L,15.7,,12,0,39,9,5,2,0,CGCG454-042
1,UGC 00610,14.71299,12.97281,G,12074.0,0.040275,SUN,13.37,,34,1,37,13,8,7,1,UGC00610
1,SDSS J100911.44-005549.9,152.2977,-0.93055,G,,,,22.0g,,0,0,15,1,0,4,0,SDSSJ100911.44-005549.9
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,SDSS J090320.09+071959.1,135.83373,7.33309,G,,,,23.0g,,0,0,15,1,0,4,0,SDSSJ090320.09+071959.1
1,CGCG 121-087 NED01,141.42008,22.32999,G,7874.0,0.026265,UUN,15.12,,15,0,46,10,5,6,1,CGCG121-087NED01
1,WISEA J123954.83+032009.7,189.97846,3.33605,G,25104.0,0.083738,SLS,18.91,,8,0,42,5,4,6,0,2MASXJ12395483+0320101
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,SDSS J082923.01+080832.0,127.34589,8.14225,G,,,,21.7g,,0,0,15,1,0,4,0,SDSSJ082923.01+080832.0
1,GALEXASC J024413.19+174335.4,41.05499,17.72652,UvS,,,,,,0,0,3,1,0,0,0,GALEXASCJ024413.19+174335.4
1,ESO 488- G 011,86.54696,-26.77514,G,11387.0,0.037983,SLS,15.79,,6,1,33,6,3,13,0,ESO488-G011
1,SDSS J121212.49+573122.4,183.05206,57.52289,G,,,,21.7g,,0,0,15,1,0,4,0,SDSSJ121212.49+573122.4
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
1,WISEA J084044.04+370037.0,130.18352,37.01028,G,6789.0,0.022644,SLS,17.0g,,15,0,36,6,3,4,0,SDSSJ084043.99+370036.8
1,SDSS J112950.48+674021.6,172.46037,67.67269,G,,,,22.0g,,0,0,15,1,0,4,0,SDSSJ112950.48+674021.6
1,MESSIER 031,10.68479,41.26906,G,-297.0,-0.000991,SUN,4.36,,5509,23,176,66,50,13,2,MESSIER031
