ls_id,dec,ra,elat,elon,glat,glon,mjd_max,mjd_min,ref_id,brickid,blob_nea_g,blob_nea_r,blob_nea_z,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,dec_ivar,dered_flux_g,dered_flux_r,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_flux_z,dered_mag_g,dered_mag_r,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,dered_mag_z,ebv,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,fracflux_g,fracflux_r,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracflux_z,fracin_g,fracin_r,fracin_z,fracmasked_g,fracmasked_r,fracmasked_z,gaia_a_g_val,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_sigma5d_max,gaia_astrometric_weight_al,gaia_e_bp_min_rp_val,gaia_phot_bp_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_bp_rp_excess_factor,gaia_phot_g_mean_flux_over_error,gaia_phot_g_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_rp_mean_mag,galdepth_g,galdepth_r,galdepth_z,g_r,htm9,mag_g,mag_r,mag_w1,mag_w2,mag_w3,mag_w4,mag_z,mw_transmission_g,mw_transmission_r,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,mw_transmission_z,nea_g,nea_r,nea_z,nest4096,objid,parallax_ivar,parallax,pmdec_ivar,pmdec,pmra_ivar,pmra,psfdepth_g,psfdepth_r,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,psfdepth_z,psfsize_g,psfsize_r,psfsize_z,ra_ivar,random_id,rchisq_g,rchisq_r,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,rchisq_z,ref_epoch,ring256,r_z,sersic_ivar,sersic,shape_e1_ivar,shape_e1,shape_e2_ivar,shape_e2,shape_r_ivar,shape_r,snr_g,snr_r,snr_w1,snr_w2,snr_w3,snr_w4,snr_z,w1_w2,w2_w3,w3_w4,wise_x,wise_y,z_w1,allmask_g,allmask_r,allmask_z,anymask_g,anymask_r,anymask_z,brick_primary,fitbits,gaia_astrometric_n_good_obs_al,gaia_astrometric_n_obs_al,gaia_astrometric_params_solved,gaia_duplicated_source,gaia_phot_bp_n_obs,gaia_phot_g_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,maskbits,nobs_g,nobs_r,nobs_w1,nobs_w2,nobs_w3,nobs_w4,nobs_z,release,wisemask_w1,wisemask_w2,brickname,ref_cat,type,wise_coadd_id
9906611345165447,-27.756909104439845,23.228713661201617,-34.480293400043394,9.423432893305236,-80.77888470934583,219.2238782246881,58392.355689360746,57022.12762136258,0,176680,5.863417,4.945995,5.269556,2372.7947,1704.4559,2284.693,2409.4626,2449.217,2464.7034,2466.282,37799006000.0,0.568789,0.876731,-1.345408,1.461894,-62.832348,1046.5721,0.955064,23.112621,22.642834,,22.08771,,14.950577,22.54992,0.015537,0.33174,0.519078,0.573228,0.331752,0.519102,0.573342,0.543221,3261.1711,1910.4635,3.643125,0.77551,0.001262,1.5e-05,143.19107,0.849985,-1.34187,1.459532,-62.810684,1046.4358,0.938655,0.018391,0.01283,6.304685,1.977867,2.513283,1.218224,0.037735,0.999954,0.999969,0.997875,0.008312,0.007977,0.010561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.9128,1704.4658,119.855545,0.486086,2335128,23.162558,22.676472,,22.089466,,14.950719,22.568735,0.955048,0.969493,0.99737,0.998384,0.999655,0.99987,0.982819,5.862736,4.945587,5.250263,146563268,3207,0,0,0,0,0,0,5219.6797,3178.0435,4.845262,0.865952,0.001278,1.6e-05,221.73297,1.325343,1.18678,1.230098,59597554000.0,57.564438,1.021462,0.92153,0.468481,0.94787,0.466855,0.07295,0.966254,0.0,576066,0.107737,0.0,1.0,201.92928,0.413681,217.16547,0.090448,1825.9164,0.483853,31.021545,37.151848,-2.561224,1.285308,-2.231701,4.050406,11.232183,,,,226.57347,163.11662,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,8,190,188,17,17,8,9010,0,0,0232m277,,EXP,0236m273
9906611525520291,-27.361113347357804,78.15359330350037,-50.12319093579312,73.47863275861842,-32.679166335535044,229.48276676876907,57730.33093998666,56635.274463452595,0,179432,10.56183,7.880662,5.658315,2438.1592,272.61575,6464.0425,7221.598,7243.973,7321.667,7327.559,80895720000.0,1.455962,2.399077,2.136882,-2.425706,-50.91502,-192.11023,3.020069,22.092125,21.54989,21.675549,,,,21.299957,0.023384,0.699392,1.178764,1.514687,0.699392,1.178764,1.514688,1.358588,1129.9897,813.1132,4.111385,0.969272,0.001731,1.9e-05,111.9461,2.289779,2.128431,-2.41981,-50.8886,-192.07259,2.942319,0.000291,0.000242,0.632641,0.284858,0.354223,2.221992,0.000262,0.997252,0.997561,0.997332,0.011628,0.011585,0.008036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.07,994.28345,123.680405,0.566765,2274296,22.16728,21.600515,21.679852,,,,21.328276,0.93312,0.954442,0.996045,0.997569,0.999481,0.999804,0.974255,10.563308,7.880433,5.658148,86021674,2979,0,0,0,0,0,0,1924.4474,1630.8854,5.591759,1.080024,0.001585,1.8e-05,263.37637,1.748577,1.407521,1.043749,112080910000.0,31.548134,1.076956,0.964074,0.530812,1.174913,0.552994,0.094203,0.903359,0.0,573150,0.27224,0.0,1.0,1313.6858,0.221641,1314.4753,-0.212892,4433.54,0.641367,45.669353,65.29338,4.315724,-2.382342,-2.117504,-0.842989,31.13108,,,,233.51903,26.346897,-0.351576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,211,209,20,19,6,9010,0,0,0782m272,,EXP,0777m273
9906611695851776,-26.768104510806427,86.54940600558368,-50.14979529433616,85.18936595853897,-25.373799846798537,231.41889847421055,58159.18703199074,56662.284626862594,0,182031,105.27002,100.87719,106.53767,1269.5864,1550.6458,0.0,0.0,0.0,0.0,0.0,265095040.0,1.461053,0.400456,-7.236671,-6.223289,-9.07408,-837.2154,-0.870404,22.088335,23.493612,,,,,,0.031283,0.067335,0.019022,0.0,0.145906,0.172717,0.259525,1.331828,114.30647,61.299793,1.659111,0.437546,0.000733,1.1e-05,7.245022,0.376239,-7.198407,-6.203059,-9.067781,-836.9959,-0.840557,4.754551,29.339893,4.78811,2.79985,13.895277,1.618756,20.225784,0.899265,0.912884,0.994005,0.004225,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.9148,990.5386,146.38484,-1.372461,2268966,22.188879,23.56134,,,,,,0.911554,0.939526,0.994712,0.996749,0.999306,0.999738,0.965709,103.185905,99.70161,105.35087,84631399,6400,0,0,0,0,0,0,2878.9143,1812.7036,5.089822,1.010596,0.001325,1.5e-05,321.65216,1.383579,1.239995,1.030371,245559010.0,34.67452,1.027483,1.025206,1.929072,0.744953,0.471415,0.089223,1.001213,0.0,570102,,0.0,1.0,0.0,0.0,0.0,0.0,55.901577,3.3536,14.239136,2.945733,-9.272014,-4.103152,-0.245522,-2.719488,-2.262492,,,,122.19029,147.88345,,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,4096,6,6,190,186,14,13,7,9010,0,0,0865m267,,REX,0861m273
9906612617092992,-24.01959159077799,12.229634375390862,-26.770949672253828,1.0015721151782186,-86.83987056741444,112.43754523021698,58382.24504777074,56925.2117877426,0,196088,84.239265,83.09237,84.688416,860.0303,1530.0527,142.53104,293.1897,257.53952,325.00644,326.89633,1099998000.0,0.716018,1.575396,-1.366794,-9.033121,-28.688377,-733.781,2.422279,22.86269,22.006525,,,,,21.53944,0.018246,0.04166,0.093292,0.145762,0.064237,0.141427,0.239234,0.67837,225.80212,134.11319,1.471195,0.342084,0.000522,9e-06,15.004972,1.519109,-1.362574,-9.015984,-28.676762,-733.6688,2.373482,2.826516,2.629091,27.012379,3.942983,8.528054,2.154481,3.095711,0.912763,0.997155,0.982648,0.017306,0.017299,0.021375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2976.5823,1835.2515,201.04094,0.875305,2123835,22.921333,22.046028,,,,,21.561535,0.947421,0.964271,0.996913,0.998103,0.999595,0.999847,0.979855,83.36132,82.586174,81.38868,68270660,8064,0,0,0,0,0,0,5431.148,3408.5754,4.418776,0.779117,0.00092,1.2e-05,382.50735,1.253057,1.211872,1.215702,1299157100.0,67.60591,0.979831,0.993224,3.608263,1.056812,0.534186,0.064273,0.994643,0.0,552482,0.484493,0.0,1.0,588.6209,0.055817,1462.8896,0.5509,21.701862,5.250509,10.193672,17.592379,-1.652705,-5.273264,-0.655403,-2.191189,9.193978,,,,83.33594,146.50784,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,187,185,13,13,10,9010,0,0,0121m240,,EXP,0115m243
9906612969741302,-23.01585311847624,37.901705419139994,-35.706177596046246,26.571328417736197,-66.987957371432,208.1981907947547,58379.37967452074,56977.26643686259,1074961,201469,267.49582,254.52336,253.60959,718.96313,1581.3558,0.0,0.0,0.0,0.0,0.0,211660530000000.0,1023.53235,2372.0461,3550.8154,2032.968,763.5679,644.5951,4509.1924,14.974746,14.062192,13.62418,14.229673,15.292881,15.476783,13.364753,0.032077,55.002712,131.4816,257.08752,55.004726,131.48576,257.09464,930.81635,14.511736,7.049597,0.081686,0.043745,0.000415,9e-06,1.40777,2225.0762,3531.5654,2026.1924,763.0244,644.4218,4350.718,0.01455,0.013319,0.009668,0.012338,0.209773,2.428494,0.006886,0.757522,0.745206,0.746244,0.015236,0.014233,0.012484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2980.1133,1918.7281,166.1618,0.946202,2315965,15.07784,14.131638,13.630082,14.233298,15.293653,15.477075,13.403598,0.909416,0.938041,0.994579,0.996667,0.999288,0.999731,0.964855,260.6931,249.92365,247.34969,149193287,7158,0,0,0,0,0,0,4852.073,3407.6167,4.710207,0.905917,0.001845,2.3e-05,319.23822,1.420131,1.268082,1.192461,251494260000000.0,95.8761,14.213069,61.498238,110.83824,13.850741,0.676991,0.098303,70.64587,0.0,546411,0.72804,1081949.9,4.555809,84217984.0,0.059686,62889268.0,0.022568,324644.0,9.781439,3545.8772,5907.817,1009.34595,423.78268,15.545467,1.891113,5162.104,-0.603216,-1.060355,-0.183421,68.85438,151.07324,-0.226484,0,0,0,0,0,0,1,528,0,0,0,0,0,0,0,0,4096,10,9,185,187,24,24,9,9010,0,0,0378m230,L3,SER,0374m228
9906613053365794,-22.67995105584176,23.77281052103651,-30.113516458560316,12.543725840837512,-79.1540437562896,191.1087555733915,58410.24069891074,56930.2362624126,0,202745,178.72711,183.54227,176.82385,676.2321,2761.6702,2251.0088,3805.083,4122.81,3989.7825,4124.37,14283240000.0,4.944467,5.614744,-3.865539,-5.943121,-247.1406,-6247.8965,5.706776,20.764702,20.626675,,,,,20.609022,0.017601,0.331489,0.382882,0.395223,0.332696,0.385008,0.398387,4.693448,90.7036,69.314354,0.732845,0.172218,0.000283,5e-06,7.545318,5.421104,-3.854026,-5.932245,-247.04407,-6246.9746,5.595836,2.261131,4.32679,13.631991,7.363583,2.829791,1.321033,2.027516,0.630128,0.724539,0.685937,0.105054,0.101439,0.09896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296.2644,1809.2885,203.31331,0.156488,2147184,20.82127,20.664782,,,,,20.630337,0.949232,0.965512,0.997022,0.99817,0.999609,0.999852,0.98056,173.21333,152.55653,153.16072,146753891,7714,0,0,0,0,0,0,3659.7634,3007.3901,4.506733,0.803016,0.000946,1.2e-05,376.49472,1.437874,1.386323,1.250256,21741617000.0,51.742958,0.974947,0.981548,13.502719,3.550003,1.23931,0.090375,0.980325,0.0,544323,0.034445,0.0,4.0,3153.0742,0.209813,3829.7295,0.275234,292.35196,9.127516,44.69966,45.133533,-3.299292,-2.461832,-4.158781,-14.602821,15.371058,,,,65.78512,264.80466,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,187,184,13,13,12,9010,0,0,0236m227,,DEV,0244m228
9906613314847376,-22.093542267929145,21.80832541056705,-28.81659964875233,10.935166418832369,-80.43713199071742,183.11036705154373,58392.34417432073,56930.23771571259,0,206735,5.640753,4.264437,4.08121,3326.339,513.5842,206.04694,209.45557,210.24942,211.47743,0.0,4975453000.0,0.149316,0.227483,0.048108,-0.175751,-90.40747,1756.2505,0.166216,24.564734,24.10763,25.794449,,,14.388534,24.448318,0.016815,0.099768,0.154486,0.11456,0.099878,0.154979,0.116432,0.142066,3908.2795,2635.6265,3.366906,0.722372,0.000421,5e-06,270.42288,0.219982,0.047971,-0.175444,-90.37373,1756.003,0.163127,0.035816,0.018792,98.69463,31.66577,0.996861,1.163075,0.109056,0.996295,0.99778,0.99695,0.035503,0.020825,0.032087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2858.214,1803.3057,177.87521,0.474745,2149734,24.618778,24.144033,25.797544,,,14.388687,24.468681,0.951442,0.967026,0.997154,0.998251,0.999627,0.999859,0.981419,5.637871,4.264052,4.080688,146772977,656,0,0,0,0,0,0,4652.5986,3276.911,4.382335,0.801053,0.000633,8e-06,338.56238,1.464807,1.245118,1.201049,4791605000.0,77.087715,1.037683,0.954965,0.847606,0.514778,0.47489,0.08404,1.026359,0.0,541246,-0.324648,0.0,1.0,0.0,0.0,0.0,0.0,253.02293,0.220979,8.881407,11.293492,0.088023,-0.149114,-1.853786,4.111267,2.682556,,,,257.16965,50.69784,-1.328863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,178,179,6,6,11,9010,0,0,0219m220,,REX,0211m228
9906613322522315,-21.906194442166093,53.518058173581366,-39.720203052791376,44.17757827742628,-52.79938612119296,213.98466891884183,58162.06739977074,57003.2485169526,0,206852,18.728533,18.070757,18.549307,397.35233,3087.9304,911.55884,1492.0298,1471.7214,1589.373,1591.5021,13052066000.0,1.020397,1.449363,0.178175,6.424253,28.558271,-925.5534,1.612957,22.478077,22.097057,24.372883,20.480444,18.86067,,21.980944,0.027505,0.215641,0.314543,0.358609,0.216307,0.315721,0.360496,0.94061,693.45526,464.81116,3.420413,0.806364,0.001773,1.2e-05,50.24555,1.372013,0.177346,6.40589,28.54084,-925.3401,1.564226,0.069289,0.089363,13.360864,0.886006,1.443051,1.535563,0.145425,0.997023,0.996828,0.996226,0.033215,0.032679,0.035717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.3,1480.1788,155.73854,0.409872,2321838,22.566477,22.156605,24.377943,20.483551,18.861334,,22.014252,0.921807,0.946632,0.99535,0.997142,0.99939,0.99977,0.969788,18.706282,18.05033,18.526302,148439113,7883,0,0,0,0,0,0,3759.9165,2822.8025,5.359076,1.032219,0.002013,1.2e-05,308.71112,1.259321,1.163899,1.155805,8862176000.0,77.90117,0.962087,1.013923,1.062356,0.916199,0.515084,0.093569,0.976499,0.0,539288,0.142353,0.0,1.0,976.78516,-0.14457,1706.5667,0.369355,427.6999,1.716079,24.769579,29.579884,0.327991,5.752348,1.201848,-3.240117,11.087876,3.894392,1.622217,,37.76053,101.67545,-2.363691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,213,214,27,13,8,9010,0,0,0534m220,,EXP,0532m213
9906613840120382,-20.513460613820364,10.2018978927516,-22.79882411260253,0.7959244333913994,-82.95332968723127,102.20034348408257,58410.196899010734,56888.3129332126,0,214750,325.49872,296.02823,312.67877,2633.021,1614.3799,235.37683,1159.8069,461.66638,798.51044,0.0,1192743900.0,3.618915,8.007485,-9.562989,-4.933162,-316.41125,-5275.032,10.978137,21.103554,20.24126,,,,,19.898678,0.022758,0.06418,0.145167,0.203041,0.095898,0.224376,0.354071,3.383144,54.20042,29.57945,0.716511,0.173927,0.000257,5e-06,3.327011,7.652222,-9.526177,-4.921491,-316.25146,-5274.026,10.702976,2.802286,3.017786,8.893905,10.728975,1.151828,1.146424,5.330993,0.963372,0.931821,0.882551,0.02285,0.02466,0.024154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2417.272,1211.6116,182.4803,0.886168,2155847,21.176699,20.290531,,,,,19.926239,0.93485,0.955634,0.996151,0.997634,0.999495,0.999809,0.974936,298.65546,294.72552,311.0267,68414415,2622,0,0,0,0,0,0,4180.685,2073.0015,4.080988,0.734197,0.000749,1e-05,372.50842,1.37554,1.382403,1.114089,1183476400.0,25.961853,1.021088,1.048861,1.436788,0.811791,0.492895,0.087293,0.976646,0.0,530973,0.364292,0.0,1.0,0.0,0.0,0.0,0.0,186.81473,5.887203,24.90702,41.618134,-8.063619,-2.052488,-5.074685,-12.306215,19.522331,,,,252.07614,155.21764,,0,0,0,0,0,0,1,1024,0,0,0,0,0,0,0,0,0,9,7,177,174,10,10,7,9010,0,0,0102m205,,REX,0096m213
9906613844320017,-20.55655924649139,27.408510571341704,-29.577956383528853,17.10406542637704,-75.17400648387613,189.7436639695708,58392.299963350735,56904.3234775726,0,214814,7.711844,6.2848,6.063603,832.3027,1022.127,162.23705,178.99055,178.34926,181.31998,0.0,2685092600.0,0.216539,0.230555,-0.037542,-0.295097,22.184605,359.85202,0.419027,24.161161,24.093065,,,19.13487,16.10969,23.444395,0.013896,0.115232,0.124349,0.228777,0.115232,0.124349,0.228777,0.207812,2082.6018,1293.8706,3.534201,0.714715,0.000713,9e-06,140.00305,0.224254,-0.037453,-0.29467,22.177763,359.81012,0.412583,0.0,0.0,19.086197,5.142237,2.58353,2.211523,0.0,0.983289,0.984164,0.742312,0.067241,0.0196,0.020759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.4192,1271.3755,137.06947,0.082672,2138964,24.205822,24.12315,,,19.135206,16.109818,23.461222,0.959701,0.972672,0.997648,0.998555,0.999692,0.999884,0.984621,7.708821,6.278052,6.068001,149482690,7953,0,0,0,0,0,0,3497.389,2292.4985,4.560195,0.79605,0.000798,1e-05,278.17844,1.474854,1.257137,1.162081,2672963300.0,86.84297,0.972865,1.070996,0.26642,0.470834,0.640982,0.115295,1.022462,0.0,531022,0.661928,0.0,1.0,0.0,0.0,0.0,0.0,238.57565,0.437046,9.483625,8.066507,-0.07041,-0.249117,0.592208,1.087708,4.881799,,,3.025389,79.09777,97.75556,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,186,184,10,10,6,9010,0,0,0273m205,,REX,0274m213
