objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped,Fink URL,is_truly_hostless_legacy,legacy_url,is_truly_hostless_panstarrs,panstarrs_url
ZTF25abyrwhz,SLSN-I,0.124,2025abmf,139.0503893,49.06484862,SLSN-I,https://ztf.fink-portal.org/ZTF25abyrwhz,yes,"https://www.legacysurvey.org/viewer?ra=139.0503893448276&dec=49.06484862413794&layer=ls-dr10&photoz-dr9&zoom=16&mark=139.0503893448276,49.06484862413794",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=139.0503893448276+49.06484862413794&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF23aboebgh,SLSN-I,0.15,2023wml,174.7862245,-11.2494244,SLSN-I,https://ztf.fink-portal.org/ZTF23aboebgh,yes,"https://www.legacysurvey.org/viewer?ra=174.78622454324326&dec=-11.249424402702704&layer=ls-dr10&photoz-dr9&zoom=16&mark=174.78622454324326,-11.249424402702704",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=174.78622454324326+-11.249424402702704&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25aanxtou,SLSN-I,0.1734,2025izy,297.2788348,78.85559226,SLSN-I,https://ztf.fink-portal.org/ZTF25aanxtou,not_available,"https://www.legacysurvey.org/viewer?ra=297.278834846875&dec=78.85559225937502&layer=ls-dr10&photoz-dr9&zoom=16&mark=297.278834846875,78.85559225937502",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=297.278834846875+78.85559225937502&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25accmopr,SLSN-I,0.307,2025afad,134.2946835,-15.55973791,SLSN-I,https://ztf.fink-portal.org/ZTF25accmopr,not_available,"https://www.legacysurvey.org/viewer?ra=134.29468345217393&dec=-15.559737913043476&layer=ls-dr10&photoz-dr9&zoom=16&mark=134.29468345217393,-15.559737913043476",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=134.29468345217393+-15.559737913043476&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaejnbx,SLSN-I,0.33,2024byt,167.1427657,-0.5066077385,SLSN-I,https://ztf.fink-portal.org/ZTF24aaejnbx,no,"https://www.legacysurvey.org/viewer?ra=167.14276570769232&dec=-0.5066077384615385&layer=ls-dr10&photoz-dr9&zoom=16&mark=167.14276570769232,-0.5066077384615385",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=167.14276570769232+-0.5066077384615385&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25aaofttb,SLSN-I,0.58,2025kkb,197.9062537,10.33311678,SLSN-I,https://ztf.fink-portal.org/ZTF25aaofttb,yes,"https://www.legacysurvey.org/viewer?ra=197.90625365&dec=10.333116775&layer=ls-dr10&photoz-dr9&zoom=16&mark=197.90625365,10.333116775",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=197.90625365+10.333116775&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF23abqygjv,SLSN-II,0.194,2023zeq,17.22581553,-20.64004747,SLSN-II,https://ztf.fink-portal.org/ZTF23abqygjv,no,"https://www.legacysurvey.org/viewer?ra=17.22581552857143&dec=-20.64004747142857&layer=ls-dr10&photoz-dr9&zoom=16&mark=17.22581552857143,-20.64004747142857",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=17.22581552857143+-20.64004747142857&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaindpx,SN Ia,0.02,2024gbt,189.4982834,-27.43460124,SN Ia,https://ztf.fink-portal.org/ZTF24aaindpx,no,"https://www.legacysurvey.org/viewer?ra=189.49828344814816&dec=-27.434601237037036&layer=ls-dr10&photoz-dr9&zoom=16&mark=189.49828344814816,-27.434601237037036",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=189.49828344814816+-27.434601237037036&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25aafwxov,SN Ia,0.023,2025byq,108.1129255,50.29325824,SN Ia,https://ztf.fink-portal.org/ZTF25aafwxov,yes,"https://www.legacysurvey.org/viewer?ra=108.112925540625&dec=50.2932582375&layer=ls-dr10&photoz-dr9&zoom=16&mark=108.112925540625,50.2932582375",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=108.112925540625+50.2932582375&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aagcvjg,SN Ia,0.025,2024ddb,47.77763455,10.84383595,SN Ia,https://ztf.fink-portal.org/ZTF24aagcvjg,not_available,"https://www.legacysurvey.org/viewer?ra=47.77763455&dec=10.84383595&layer=ls-dr10&photoz-dr9&zoom=16&mark=47.77763455,10.84383595",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=47.77763455+10.84383595&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
