objectId,ra,dec,redshift,name,idx,best_cat,best_cat_release,query_time,smallcone_posterior,missedcat_posterior,extra_cat_cols,host_objID,host_name,host_total_posterior,host_ra,host_dec,host_redshift_mean,host_redshift_std,host_redshift_info,host_redshift_posterior,host_absmag_mean,host_absmag_std,host_absmag_info,host_absmag_posterior,host_offset_mean,host_offset_std,host_offset_info,host_offset_posterior,host_frac_offset_mean,host_frac_offset_std,any_posterior,none_posterior,host_2_objID,host_2_name,host_2_total_posterior,host_2_ra,host_2_dec,host_2_redshift_mean,host_2_redshift_std,host_2_redshift_info,host_2_redshift_posterior,host_2_absmag_mean,host_2_absmag_std,host_2_absmag_info,host_2_absmag_posterior,host_2_offset_mean,host_2_offset_std,host_2_offset_info,host_2_offset_posterior,host_2_frac_offset_mean,host_2_frac_offset_std
ZTF24abnvicc,57.61407072857143,18.811868249999996,nan,Transient_0,0,panstarrs,dr2,2.2603070735931396,1.9408850223314504e-13,1.9408850223314504e-13,{},130590576114313178,nan,0.9999999999994177,57.61148450339476,18.82719536365709,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,55.871744837126876,0.1017185099596059,nan,0.9999999999994177,4.6017662149158856,0.27332007130234565,0.9999999999994177,5.822655066994351e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25abxcdgx,169.09278786,75.95740972000002,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25abqicqz,248.2475686692308,36.22834608461538,nan,Transient_0,0,decals,dr9,1.8535690307617188,0.0,0.0018980392980766634,{},9907733797670004,nan,0.9980885913052768,248.2473963974324,36.22745353624286,0.231347,0.1156735,PHOT,286956.38911882835,-18.807194281485398,1.075209,r,50.367920607062715,3.2548160820380545,0.09521229717443265,nan,15857.272336762067,2.0276755758829217,0.09041903435276598,0.9980885913052768,0.0019114086947231645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aapwxhm,251.36158280487803,65.59108739999999,0.044,Transient_0,0,decals,dr9,1.8562641143798828,0.0,0.02119581177483246,{},9907740709488115,nan,0.9788041881663486,251.36118223321589,65.59147316113987,0.125205,0.0626025,PHOT,1558644.6320293443,-17.60981145160539,1.061478,r,16.56506392686436,1.5156519650757645,0.0954214388508942,nan,4841.086507925887,2.291989263680644,0.14895403445724795,0.9788041881663486,0.021195811833651344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24abvnhrd,134.94829136363634,-15.633076799999998,nan,Transient_0,0,panstarrs,dr2,2.7437567710876465,1.5064502857871023e-13,1.5064502857871023e-13,{},89231349476417618,nan,0.9999999999994478,134.94765464929645,-15.635592738071724,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,9.32365959260935,0.09777803410493424,nan,0.9999999999994478,4.447514964926667,0.301313247990101,0.9999999999995481,4.5193508573613073e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aahhwwq,190.21111380769233,-3.460642692307692,0.069788,Transient_0,0,glade,latest,0.007009744644165039,0.0,0.17794660149566116,{},2385990.0,116781,0.8220533985042772,190.211411,-3.460312,0.0692033622964252,0.0207610086889275,PHOT,15048.717867071564,-20.050000285001573,0.8710000000000001,B,0.20671636836698504,1.6015014636556693,0.09942017852255669,nan,62.48576573251208,0.4678508223964471,0.14375674768470914,0.8220533985042772,0.17794660149572278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF23abrralq,297.07459070000004,48.55227465,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aatruwp,325.3328609307692,-18.07790826153846,0.1,Transient_0,0,panstarrs,dr2,2.6430599689483643,1.4105983171682194e-13,1.4105983171682194e-13,{},86303253354528149,nan,0.999999999999569,325.3354848290727,-18.076863630679902,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,9.734446815155476,0.09680916697674775,nan,0.999999999999569,4.299686925422135,0.23316746571158745,0.9999999999995768,4.231794951504658e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aadvjal,151.70235609999995,39.53043906111111,0.065,Transient_0,0,decals,dr9,1.893378734588623,0.0,0.0028558024894171806,{},9907734748268031,nan,0.9971441974979762,151.70240105839673,39.53050630081096,0.365679,0.165866,PHOT,23701.301944169034,-19.42197709772522,1.1016679999999999,r,10.466736611221776,0.287629413449873,0.09395200406717642,nan,7569.271810060445,0.287903064237266,0.09519676798952367,0.9971441974979762,0.0028558025020237188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaxpgwg,248.21650444,29.50861939333333,nan,Transient_0,0,decals,dr9,2.127640724182129,0.0,8.798233493433184e-05,{},9906632143608087,nan,0.9995822223728696,248.21652868779077,29.5086027662342,0.28021,0.140105,PHOT,38331.01362318473,-18.74780383414201,1.10185985,r,4.0552812389859625,0.1456758819388629,0.07448382071180315,nan,9814.308588035065,0.3217428501826149,0.18288455499618525,0.9998957033711624,0.00010429662883755434,9906632143667284,nan,0.0,248.2170455732095,29.508491581063563,0.604693,0.081639,PHOT,12865.163269687706,-20.651965878378604,1.10537815,r,71.4795614294643,1.757639561114056,0.08811244072622194,nan,0.0,5.063607582944502,0.3619487311791789
