objectId,classification,association_type,catalogue_table_name,catalogue_object_id,catalogue_object_type,raDeg,decDeg,separationArcsec,northSeparationArcsec,eastSeparationArcsec,physical_separation_kpc,direct_distance,distance,z,photoZ,photoZErr,Mag,MagFilter,MagErr,classificationReliability,major_axis_arcsec,annotator,additional_output,description,summary
ZTF24abyiwzh,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF24abyiwzh,No contexual information is available for this transient,0
ZTF24abyjjjt,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF24abyjjjt,No contexual information is available for this transient,0
ZTF24abzsxfu,SN,SN,SDSS/PS1,1237657775541125163,galaxy,130.73939670242933,37.56027649282211,4.517,-3.064,-3.48111,0.0,0.0,0.0,0.0,0.059,0.02,19.524,r,0.003,2,15.886,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF24abzsxfu,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237657775541125163"">SDSS J084257.45+373336.9</a></em>; an r=19.52 mag galaxy found in the SDSS/PS1 catalogues. Its located 3.06"" N, 3.48"" E from the galaxy centre.",0
ZTF25aaadqsi,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aaadqsi,No contexual information is available for this transient,0
ZTF25aabylly,SN,SN,NED D/SDSS/2MASS/PS1,CGCG164-028,galaxy,222.03067,31.738091,28.882,-27.0889,10.018,17.363,124.0,201.117,0.045,0.04,0.009,15.627,r,0.0,2,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aabylly,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=CGCG164-028&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">CGCG164-028</a></em>; a J=12.99 mag galaxy found in the NED_D/SDSS/2MASS/PS1 catalogues. Its located 27.09"" N, 10.02"" W (17.4 Kpc) from the galaxy centre. A host distance of 124.0 Mpc(z=0.045) implies a <em>m - M =</em> 35.47.",0
ZTF25aachzhd,SN,SN,SDSS,1237668727165748878,galaxy,270.9657296428834,42.94516889745623,0.71,-0.10621,-0.70191,0.0,0.0,0.0,0.0,0.817,0.158,22.745,r,0.625,2,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aachzhd,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237668727165748878"">SDSS J180351.77+425642.6</a></em>; an r=22.75 mag galaxy found in the SDSS catalogue. Its located 0.11"" N, 0.70"" E from the galaxy centre.",0
ZTF25aacrmjb,UNCLEAR,UNCLEAR,PS1,97641643294790845,uncertain,164.329472448,-8.632951446,0.355,-0.22913,0.27103,0.0,0.0,0.0,0.0,0.0,0.0,26.2,r,0.066,3,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aacrmjb,"The transient is possibly associated with <em>97641643294790845</em>; an r=26.20 mag uncertain found in the PS1 catalogue. Its located 0.23"" N, 0.27"" W from the uncertain centre.",0
ZTF25aadlhzw,UNCLEAR,UNCLEAR,GSC/PS1,S6EV006625,unknown,181.753044208,-15.689332784,0.216,-0.1706,0.3991,0.0,0.0,0.0,0.0,0.0,0.0,20.725,r,0.006,3,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aadlhzw,"The transient is possibly associated with <em>S6EV006625</em>; an r=20.72 mag unclassified source found in the GSC/PS1 catalogues. Its located 0.17"" N, 0.40"" W from the objects source centre.",0
ZTF25aafpooi,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aafpooi,No contexual information is available for this transient,0
ZTF25aafpotv,SN,SN,PS1,93100624764085037,galaxy,62.476406286,-12.4128091,0.389,0.1458,-0.3611,0.0,0.0,0.0,0.0,0.0,0.0,21.69,r,0.008,2,5.402,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aafpotv,"The transient is possibly associated with <em>93100624764085037</em>; an r=21.69 mag galaxy found in the PS1 catalogue. Its located 0.15"" S, 0.36"" E from the galaxy centre.",0
ZTF25aahfhjr,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aahfhjr,No contexual information is available for this transient,0
ZTF25aahweqd,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aahweqd,No contexual information is available for this transient,0
ZTF25aaixrfr,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aaixrfr,No contexual information is available for this transient,0
ZTF25aajjioo,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aajjioo,No contexual information is available for this transient,0
ZTF25aajlhto,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aajlhto,No contexual information is available for this transient,0
ZTF25aajlyns,SN,SN,SDSS,1237671750288933475,galaxy,176.51566388835272,70.4108418468663,0.333,0.2982,0.1482,0.0,0.0,0.0,0.0,0.553,0.128,21.438,r,0.222,2,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aajlyns,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237671750288933475"">SDSS J114603.75+702439.0</a></em>; an r=21.44 mag galaxy found in the SDSS catalogue. Its located 0.30"" S, 0.15"" W from the galaxy centre.",0
ZTF25aakuauo,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aakuauo,No contexual information is available for this transient,0
ZTF25aalmjrg,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aalmjrg,No contexual information is available for this transient,0
ZTF25aaloljw,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aaloljw,No contexual information is available for this transient,0
ZTF25aanbchm,SN,SN,SDSS/PS1,1237654669740605679,galaxy,161.48351513327486,-0.27787657627018675,5.215,-5.18891,-0.81806,0.0,0.0,0.0,0.0,0.307,0.151,22.365,r,0.01,2,4.492,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aanbchm,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237654669740605679"">SDSS J104556.04-001640.3</a></em>; an r=22.36 mag galaxy found in the SDSS/PS1 catalogues. Its located 5.19"" N, 0.82"" E from the galaxy centre.",0
ZTF25aanbkva,UNCLEAR,UNCLEAR,NED,WISEAJ121210.01-130707.7,other,183.0415,-13.11919,16.672,-15.8,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aanbkva,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=WISEAJ121210.01-130707.7&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">WISEAJ121210.01-130707.7</a></em>; an unknown-mag RadioS found in the NED catalogue. Its located 15.80"" N, 5.40"" E from the RadioS centre.",0
ZTF25aanikpq,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aanikpq,No contexual information is available for this transient,0
ZTF25aanktst,ORPHAN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aanktst,No contexual information is available for this transient,0
ZTF25aantepy,SN,SN,PS1,112111430170353722,galaxy,143.016992246,3.427717884,23.015,18.539,-13.639,0.0,0.0,0.0,0.0,0.0,0.0,17.583,r,0.001,2,6.127,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aantepy,"The transient is possibly associated with <em>112111430170353722</em>; an r=17.58 mag galaxy found in the PS1 catalogue. Its located 18.54"" S, 13.64"" E from the galaxy centre.",0
ZTF25aanzrcx,SN,SN,PS1,120883023631569613,galaxy,302.36319173199996,10.740891674,5.368,-5.034,-1.863,0.0,0.0,0.0,0.0,0.0,0.0,21.923,r,0.008,2,4.179,https://github.com/thespacedoctor/sherlock/releases/tag/v2.3.1,http://lasair-ztf.lsst.ac.uk/api/sherlock/object/ZTF25aanzrcx,"The transient is possibly associated with <em>120883023631569613</em>; an r=21.92 mag galaxy found in the PS1 catalogue. Its located 5.03"" N, 1.86"" E from the galaxy centre.",0
